Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778863410,124,,Aggregated,107.100000,0.000000,88,130,160,190,430,1200,2100,2400,2800,2900,2900,2493,0,88,232.41544844003084,66.75021900002776,2935.87555900001,13.0
1778863411,125,,Aggregated,107.900000,0.000000,87,130,150,180,400,1100,2000,2400,2800,2900,2900,2607,0,87,226.19054799424546,66.75021900002776,2935.87555900001,13.0
1778863412,125,,Aggregated,109.700000,0.000000,86,120,150,180,380,1100,1900,2400,2800,2900,2900,2723,0,86,220.5204381604838,66.75021900002776,2935.87555900001,13.0
1778863413,126,,Aggregated,110.100000,0.000000,85,120,150,170,360,1100,1700,2400,2800,2900,2900,2835,0,85,215.00054627160432,66.75021900002776,2935.87555900001,13.0
1778863414,127,,Aggregated,110.700000,0.000000,85,120,150,170,350,1000,1700,2400,2800,2900,2900,2948,0,85,210.60351078256343,66.75021900002776,2935.87555900001,13.0
1778863415,128,,Aggregated,111.400000,0.000000,86,120,150,180,340,990,1600,2400,2800,2900,2900,3055,0,86,210.6915747682477,66.75021900002776,2935.87555900001,13.0
1778863416,128,,Aggregated,111.800000,0.000000,89,130,160,190,320,950,1600,2300,2800,2900,2900,3162,0,89,210.36284032131468,66.75021900002776,2935.87555900001,13.0
1778863417,129,,Aggregated,111.300000,0.000000,92,140,170,190,310,920,1600,2300,2800,2900,2900,3270,0,92,209.8521433146777,66.75021900002776,2935.87555900001,13.0
1778863418,130,,Aggregated,111.200000,0.000000,96,140,180,200,300,870,1600,2300,2800,2900,2900,3385,0,96,208.8070022862612,66.75021900002776,2935.87555900001,13.0
1778863419,130,,Aggregated,111.600000,0.000000,95,140,170,190,290,820,1500,2300,2800,2900,2900,3503,0,95,205.25056911361546,66.75021900002776,2935.87555900001,13.0
1778863420,131,,Aggregated,111.800000,0.000000,93,140,170,190,280,770,1500,2300,2800,2900,2900,3625,0,93,201.5628331216532,66.75021900002776,2935.87555900001,13.0
1778863421,132,,Aggregated,112.100000,0.000000,91,130,170,190,270,660,1500,2300,2800,2900,2900,3748,0,91,197.4837840736369,66.75021900002776,2935.87555900001,13.0
1778863422,132,,Aggregated,112.900000,0.000000,89,130,160,190,270,600,1500,2300,2800,2900,2900,3868,0,89,193.84279179032848,66.75021900002776,2935.87555900001,13.0
1778863423,133,,Aggregated,113.600000,0.000000,91,130,160,190,270,560,1500,2300,2800,2900,2900,3982,0,91,192.46233576719976,66.75021900002776,2935.87555900001,13.0
1778863424,134,,Aggregated,114.400000,0.000000,93,140,170,190,280,550,1500,2200,2700,2900,2900,4071,0,93,194.32591875411183,66.75021900002776,2935.87555900001,13.0
1778863425,134,,Aggregated,114.600000,0.000000,94,140,170,200,310,710,1500,2200,2700,2900,2900,4137,0,94,200.61017593618308,66.75021900002776,2935.87555900001,13.0
1778863426,135,,Aggregated,112.500000,0.000000,97,140,180,210,360,870,1500,2200,2700,2900,2900,4195,0,97,210.43356221739873,66.75021900002776,2935.87555900001,13.0
1778863427,136,,Aggregated,108.600000,0.000000,99,150,190,220,440,1100,1500,2200,2700,2900,2900,4280,0,99,227.32345079952952,66.75021900002776,2935.87555900001,13.0
1778863428,136,,Aggregated,103.500000,0.000000,100,150,190,230,510,1100,1500,2200,2700,2900,2900,4378,0,100.0,235.93770850136735,66.75021900002776,2935.87555900001,13.0
1778863429,137,,Aggregated,100.900000,0.000000,110,160,210,250,510,1100,1400,2200,2700,2900,2900,4488,0,110.0,238.30883034603087,66.75021900002776,2935.87555900001,13.0
1778863430,137,,Aggregated,99.400000,0.000000,110,170,220,270,510,1100,1400,2200,2700,2900,2900,4569,0,110.0,240.84875064959218,66.75021900002776,2935.87555900001,13.0
1778863431,138,,Aggregated,98.300000,0.000000,110,170,230,280,550,1100,1400,2100,2700,2900,2900,4652,0,110.0,247.46147567433073,66.75021900002776,2935.87555900001,13.0
1778863432,138,,Aggregated,95.000000,0.000000,110,180,240,300,550,1100,1400,2100,2700,2900,2900,4767,0,110.0,251.82182083406514,66.75021900002776,2935.87555900001,13.0
1778863433,139,,Aggregated,90.700000,0.000000,110,170,230,300,550,1100,1400,2100,2700,2900,2900,4878,0,110.0,251.5295646760945,66.75021900002776,2935.87555900001,13.0
1778863434,140,,Aggregated,89.600000,0.000000,110,170,230,290,550,1100,1400,2000,2700,2900,2900,5008,0,110.0,249.9787631355811,66.75021900002776,2935.87555900001,13.0
1778863435,140,,Aggregated,88.900000,0.000000,110,170,230,290,550,1100,1400,2000,2700,2900,2900,5133,0,110.0,246.31809802922064,66.75021900002776,2935.87555900001,13.0
1778863436,141,,Aggregated,92.600000,0.000000,100,170,220,280,540,1100,1400,2000,2700,2900,2900,5266,0,100.0,242.55779119312385,66.75021900002776,2935.87555900001,13.0
1778863437,141,,Aggregated,98.800000,0.000000,100,160,220,270,530,1100,1300,1900,2700,2900,2900,5402,0,100.0,238.4103046736377,66.75021900002776,2935.87555900001,13.0
1778863438,142,,Aggregated,105.800000,0.000000,97,160,210,270,520,1100,1300,1800,2700,2900,2900,5534,0,97,234.55669576075033,66.75021900002776,2935.87555900001,13.0
1778863439,142,,Aggregated,111.000000,0.000000,94,150,210,260,510,1000,1300,1700,2700,2900,2900,5660,0,94,231.2104433031789,66.75021900002776,2935.87555900001,13.0
1778863440,142,,Aggregated,114.600000,0.000000,92,150,200,260,510,1000,1300,1700,2700,2900,2900,5793,0,92,228.02877519903186,66.75021900002776,2935.87555900001,13.0
1778863441,143,,Aggregated,117.100000,0.000000,91,150,200,250,500,1000,1300,1700,2700,2900,2900,5926,0,91,225.02377473945188,66.75021900002776,2935.87555900001,13.0
1778863442,143,,Aggregated,121.000000,0.000000,89,150,200,250,490,980,1300,1700,2700,2900,2900,6062,0,89,221.8175628607709,66.75021900002776,2935.87555900001,13.0
1778863443,144,,Aggregated,126.100000,0.000000,88,140,190,240,470,970,1300,1600,2700,2900,2900,6192,0,88,218.82235487209223,66.75021900002776,2935.87555900001,13.0
1778863444,144,,Aggregated,128.300000,0.000000,87,140,190,230,460,950,1300,1600,2700,2900,2900,6323,0,87,216.30286845737706,66.75021900002776,2935.87555900001,13.0
1778863445,145,,Aggregated,130.800000,0.000000,86,140,190,230,450,930,1300,1600,2700,2900,2900,6457,0,86,213.49679516865334,66.75021900002776,2935.87555900001,13.0
1778863446,145,,Aggregated,130.600000,0.000000,85,140,180,230,450,910,1300,1600,2700,2900,2900,6590,0,85,210.89115468467304,66.75021900002776,2935.87555900001,13.0
1778863447,145,,Aggregated,131.400000,0.000000,85,130,180,220,440,880,1300,1600,2700,2900,2900,6724,0,85,208.41786657911828,66.75021900002776,2935.87555900001,13.0
1778863448,146,,Aggregated,132.000000,0.000000,85,130,180,220,430,870,1300,1600,2700,2900,2900,6854,0,85,206.4566074393041,66.75021900002776,2935.87555900001,13.0
1778863449,146,,Aggregated,131.400000,0.000000,84,130,180,220,430,860,1300,1600,2700,2900,2900,6991,0,84,204.15297538892725,66.75021900002776,2935.87555900001,13.0
1778863450,146,,Aggregated,131.800000,0.000000,84,130,170,210,420,840,1300,1500,2700,2900,2900,7122,0,84,202.51658542207133,66.75021900002776,2935.87555900001,13.0
1778863451,147,,Aggregated,131.800000,0.000000,84,130,170,210,410,820,1300,1500,2700,2900,2900,7254,0,84,200.8062020374957,66.75021900002776,2935.87555900001,13.0
1778863452,147,,Aggregated,132.200000,0.000000,84,130,170,210,410,800,1300,1500,2700,2900,2900,7384,0,84,199.4953643637583,66.75021900002776,2935.87555900001,13.0
1778863453,147,,Aggregated,132.400000,0.000000,85,130,170,210,410,790,1300,1500,2700,2900,2900,7492,0,85,199.28593413133882,66.75021900002776,2935.87555900001,13.0
