Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/function/graph_mst,29495,0,600.0,599.989562521571,65.3401980016497,29090.715012000146,13.0,24.57931877704884,0.0,600,720,810,860,1000,1200,1500,1600,20000,29000,29000
,Aggregated,29495,0,600.0,599.989562521571,65.3401980016497,29090.715012000146,13.0,24.57931877704884,0.0,600,720,810,860,1000,1200,1500,1600,20000,29000,29000
