Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/function/graph_mst,21633,0,230.0,209.52050679018106,65.90740499996173,1400.4553429995212,13.0,18.021654629783587,0.0,230,230,230,240,250,330,480,620,1200,1400,1400
,Aggregated,21633,0,230.0,209.52050679018106,65.90740499996173,1400.4553429995212,13.0,18.021654629783587,0.0,230,230,230,240,250,330,480,620,1200,1400,1400
