Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/function/graph_mst,31238,0,440.0,407.85836565779044,65.36484500065853,3246.179954998297,13.0,27.898111727725393,0.0,440,510,560,600,680,790,1000,1300,2000,3200,3200
,Aggregated,31238,0,440.0,407.85836565779044,65.36484500065853,3246.179954998297,13.0,27.898111727725393,0.0,440,510,560,600,680,790,1000,1300,2000,3200,3200
