Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,287798,0,80,243.4736872808127,65.73403099991992,7683.518324999568,13.0,79.93308854003935,0.0,80,85,100,140,470,1100,2200,3600,5500,7300,7700
,Aggregated,287798,0,80,243.4736872808127,65.73403099991992,7683.518324999568,13.0,79.93308854003935,0.0,80,85,100,140,470,1100,2200,3600,5500,7300,7700
